id, repo, followersCommunity, forksCommunity, followersParticipation, forksParticipation
stayallive, 1, 0, 211, 0.8274411433372643, 0.0
alexleeelkins, 1, -1, 109, -1, 0.7556929649445353
amayer5125, 1, -1, 199, -1, 0.9999999999999997
al0mie, 1, 0, -1, 0.8485903687262005, -1
alexsoft, 1, 0, -1, 0.7855638703198454, -1
adiachenko, 1, -1, -1, -1, -1
amenk, 1, 73, -1, 0.9518086383390859, -1
tabuna, 1, 0, -1, 0.8821168002714894, -1
alexandre-butynski, 1, 0, -1, 0.8461106206559191, -1
CoolGoose, 1, 0, -1, 0.8526310670367464, -1
Ali-Shaikh, 1, 0, -1, 0.6874397759592141, -1
Alymosul, 1, 19, 257, 0.0, 0.0
amochohan, 1, 0, -1, 1.0, -1
andershammar, 1, 0, -1, 1.0, -1
ajthinking, 1, 0, -1, 0.8352823852161688, -1
localheinz, 2049, 19, 257, 0.7851239445184369, 0.0
dispercity, 1, -1, -1, -1, -1
andrewhood125, 1, 0, -1, 0.8528009090944504, -1
ikari7789, 1, -1, 299, -1, 0.8776654623548256
andrewminion-luminfire, 1, -1, 4, -1, 0.6788377749102548
andrericard, 1, 0, -1, 0.8442583681774873, -1
adevade, 1, -1, -1, -1, -1
Phyxsius, 1, 0, -1, 1.0, -1
anthonyholmes, 1, 0, -1, 0.8039310956478143, -1
akhodakivskiy, 1, -1, -1, -1, -1
ImJustToNy, 1, -1, -1, -1, -1
anteriovieira, 1, 0, -1, 0.7589542277176611, -1
DrowningElysium, 1, -1, -1, -1, -1
yajra, 1, 0, 273, 0.828906819225703, 0.0
setnemo, 1, 19, -1, 1.0, -1
atefBB, 1, 0, -1, 0.819436106182571, -1
amcsi, 1, -1, 257, -1, 0.7306614311714288
authman, 1, -1, -1, -1, -1
akalongman, 1, 0, 264, 0.7802827104485508, 0.0
BartHuis, 1, 0, -1, 0.8314950856682239, -1
bequery, 1, -1, -1, -1, -1
simensen, 2049, 19, 257, 0.8108086038550449, 0.0
benjam-es, 1, 0, -1, 0.8109015033613362, -1
cbj4074, 1, 0, -1, 0.0, -1
Bering, 1, -1, -1, -1, -1
rittme, 1, 14, -1, 0.9315864460891132, -1
bertheyman, 1, -1, -1, -1, -1
bilalalmassry, 1, 0, -1, 1.0, -1
bmitch, 1, 0, 257, 1.0, 0.0
bstrahija, 1, 0, 380, 0.8299003596890628, 0.0
bradenkeith, 1, 0, 267, 0.0, 0.0
bram-pkg, 1, 0, -1, 0.8680704172849771, -1
bintzandt, 1, -1, -1, -1, -1
bshaffer, 1, 19, 257, 0.8541449231433464, 0.0
brunogaspar, 1, 0, 28, 0.7782385045074234, 0.0
ibrunotome, 1, 0, -1, 0.8536598306463684, -1
bryannielsen, 1, 0, -1, 0.9359754193432198, -1
bryanwood, 1, 53, -1, 1.0, -1
bryceadams, 1, 0, -1, 0.6826193912821975, -1
deerawan, 1, 53, -1, 0.783245363555922, -1
buihanh2304, 1, -1, -1, -1, -1
milorojas, 1, 0, -1, 0.9268939231679385, -1
unstoppablecarl, 1, 0, -1, 0.0, -1
overtrue, 1, 0, 25, 0.8049105104760977, 0.0
carlosmtrinidad, 1, 0, -1, 0.8881610806405226, -1
byCedric, 1, 0, -1, 0.7592132407115064, -1
axlon, 1, -1, -1, -1, -1
PHLAK, 1, 0, 272, 0.8542525912960203, 0.0
christianztamayo, 1, 53, -1, 1.0, -1
brayniverse, 1, 0, -1, 0.76308684742163, -1
arubacao, 1, 0, 299, 0.8695260484596388, 0.0
chuckrincon, 1, 0, -1, 0.7493050104892929, -1
caugner, 1, 26, -1, 0.0, -1
claudiodekker, 1, 0, 297, 0.8553515139353678, 0.0
clemir, 1, -1, -1, -1, -1
cristianofromagio, 1, 12, -1, 0.9012892543787104, -1
cubettech, 1, -1, -1, -1, -1
cesaramirez, 1, 0, -1, 0.7790175519821788, -1
DCzajkowski, 1, 12, -1, 0.7790975914797128, -1
danharrin, 1, 0, 257, 0.8940817646544933, 0.0
daniel-banciulea, 1, -1, -1, -1, -1
DanielCoulbourne, 1, 0, -1, 0.0, -1
dciancu, 1, -1, -1, -1, -1
dannyvink, 1, -1, -1, -1, -1
lukefor, 1, 16, 109, 1.0, 0.0
darrencraig, 1, 0, -1, 1.0, -1
davedx, 1, 15, -1, 1.0, -1
drowe, 1, -1, -1, -1, -1
ragingdave, 8193, 124, -1, 0.0, -1
DavidLemayian, 1, -1, 4, -1, 0.9999999999999997
voidman, 1, 0, -1, 0.7769399274173674, -1
arenowebdev, 1, 0, -1, 0.8264418051910682, -1
DServy, 1, -1, -1, -1, -1
davzie, 1, 0, -1, 0.0, -1
faliure, 1, -1, 257, -1, 0.9999999999999997
zlatevbg, 1, -1, -1, -1, -1
dongilbert, 1, 0, -1, 0.7949068591998946, -1
donnes, 1, 0, -1, 0.813889908506511, -1
zendrax, 1, -1, -1, -1, -1
djh101, 1, -1, 257, -1, 0.9999999999999997
dbudwin, 1, 17, -1, 1.0, -1
drewroberts, 1, 0, -1, 0.7945991350949297, -1
sileence, 1, 0, -1, 0.8488823496620793, -1
dwightwatson, 1, 0, 18, 0.9605576024039812, 0.0
eddiemonge, 1, 53, -1, 0.8980093906786778, -1
eddybrando, 1, 53, -1, 0.9176019398405689, -1
eduarguz, 1, 0, -1, 0.8587535923832973, -1
eddmann, 1, 0, 272, 0.8597721658456254, 0.0
spyric, 1, -1, 3, -1, 0.5525415449763178
eliurkis, 1, 0, -1, 0.8498185525426567, -1
emaia, 1, 0, -1, 0.816784542066799, -1
ericdowell, 1, 0, -1, 0.8254664896664994, -1
eric-famiglietti, 1, -1, 278, -1, 0.5722316018641664
erikdubbelboer, 1, 53, 156, 0.0, 0.0
euantorano, 1, 0, -1, 0.85479030683385, -1
Gargron, 1, 0, 1, 1.0, 0.0
fabpot, 2049, 19, 257, 0.0, 0.0
kneipp, 1, -1, -1, -1, -1
FaridAghili, 1, -1, -1, -1, -1
felixdorn, 1, -1, 0, -1, 0.5859091259301971
pakogn, 1, 0, -1, 0.7438906392859339, -1
socieboy, 1, 0, -1, 0.9559574370505541, -1
caouecs, 1, 0, -1, 0.9757469672809881, -1
FrittenKeeZ, 1, -1, -1, -1, -1
tentacode, 1, 19, 210, 0.8736137923278517, 0.0
gauravmak, 1, 0, -1, 0.7658851360322771, -1
gemmadlou, 1, 0, -1, 0.7807154294728116, -1
iamgergo, 1, -1, -1, -1, -1
BackEndTea, 1, 19, -1, 0.7115055472383246, -1
liuggio, 1, 19, 257, 0.7889441544068312, 0.0
GovarJabbar, 1, 0, -1, 0.9305922839469838, -1
gaker, 8193, 0, -1, 0.8404728676592935, -1
gregoryduckworth, 1, -1, -1, -1, -1
gpressutto5, 1, -1, 5, -1, 0.7218305920897756
hasanemrebeyy, 1, 21, -1, 1.0, -1
heruputra, 1, 0, -1, 0.7650421937150241, -1
cyberhicham, 1, -1, 300, -1, 0.9666320794692136
hillelcoren, 1, 0, -1, 0.8493174443930303, -1
hirenkeraliya, 1, 0, -1, 0.9720231141690532, -1
clarkewing, 1, -1, 8, -1, 0.9529542418975532
yasapurnama, 1, 20, -1, 1.0, -1
ianlandsman, 1, 0, 14, 0.0, 0.0
ibrasho, 1, 0, -1, 0.0, -1
ebuster, 1, -1, -1, -1, -1
irsyadadl, 1, 0, -1, 1.0, -1
vantoozz, 1, -1, 301, -1, 0.9999999999999997
idhamperdameian, 1, -1, 16, -1, 0.8396635392618345
